,组合,指数
2011-05-26,-0.010530813235232417,-0.009917
2011-05-27,-0.02498928909192666,-0.0315
2011-05-30,-0.007810940081466655,-0.018932
2011-05-31,0.0188902389975949,0.022837
2011-06-01,0.009269058274780972,0.010489
2011-06-02,-0.013126960086880302,-0.013559000000000002
2011-06-03,0.01524795162098913,0.0172
2011-06-07,0.006246115030569044,0.009122
2011-06-08,0.000850914052282991,0.0034460000000000003
2011-06-09,-0.01907951759653803,-0.023284
2011-06-10,0.0018018424300147988,0.002764
2011-06-13,-0.004117698389011992,-5.9e-05
2011-06-14,0.015045295924326352,0.016146
2011-06-15,-0.006601350232406711,-0.009083
2011-06-16,-0.020975591634852075,-0.021679
2011-06-17,-0.011384609621177155,-0.014715
2011-06-20,-0.009419424118145114,-0.013514
2011-06-21,0.01274950320824586,0.013945
2011-06-22,-0.001587349463014198,-0.003965
2011-06-23,0.02149596327974823,0.018911
2011-06-24,0.02258961879981092,0.02413
2011-06-27,0.011830090548851091,0.013086
2011-06-28,0.004803118922311444,0.001376
2011-06-29,-0.012590145658189611,-0.013756999999999998
2011-06-30,0.015587836179948631,0.015025
2011-07-01,0.003327665484412989,0.00555
2011-07-04,0.024391602882073204,0.024897
2011-07-05,0.004532405240289527,0.006364
2011-07-06,0.002142901864298885,0.00242
2011-07-07,0.002756429145004402,0.000112
2011-07-08,-0.001112686983520072,-0.001016
2011-07-11,0.01187086465658216,0.008999
2011-07-12,-0.012282704784954857,-0.014231
2011-07-13,0.01921154609151343,0.019932000000000002
2011-07-14,0.009798177698551624,0.008444
2011-07-15,0.007367518785896365,0.00614
2011-07-18,0.000726136416173028,-0.00016
2011-07-19,-0.013016604262462317,-0.010532
2011-07-20,-0.000517822080945196,0.001105
2011-07-21,-0.010434202167422413,-0.013335999999999999
2011-07-22,0.0047979164746263505,0.003459
2011-07-25,-0.0383704228280789,-0.038994
2011-07-26,0.002510140316167586,0.004257
2011-07-27,0.0165072337309482,0.01662
2011-07-28,-0.0034287157606809338,-0.006259
2011-07-29,-0.008088364001520354,-0.011231999999999999
2011-08-01,0.002845094570636863,0.0034879999999999998
2011-08-02,-0.002731751863114917,-0.007251
2011-08-03,0.003545628694203273,0.003121
2011-08-04,0.00455195417922738,0.005243
2011-08-05,-0.01707646373080207,-0.019445
2011-08-08,-0.03722061931003806,-0.050065
2011-08-09,-6.8866199847805e-05,-0.003155
2011-08-10,0.012020613060989449,0.014267
2011-08-11,0.019851188264475184,0.017287
2011-08-12,0.009631787522594417,0.011559999999999999
2011-08-15,0.01184853586113599,0.014610000000000001
2011-08-16,-0.007060677037671992,-0.008399
2011-08-17,-0.002724354840087262,-0.004376
2011-08-18,-0.020309148884804618,-0.017145
2011-08-19,-0.007226440305328485,-0.009261
2011-08-22,-0.00926560284983291,-0.007067
2011-08-23,0.016924362144095983,0.016261
2011-08-24,0.000622745002270663,-0.001566
2011-08-25,0.018510702467315895,0.020821
2011-08-26,0.00222396107915368,0.002268
2011-08-29,-0.006947731073757568,-0.008888
2011-08-30,-0.009258912862384559,-0.008559
2011-08-31,-0.00578358976243909,-0.0047599999999999995
2011-09-01,-0.00554263161981694,-0.008006
2011-09-02,-0.011025788398680625,-0.011397
2011-09-05,-0.022660545203108676,-0.024605000000000002
2011-09-06,-0.008295369246117068,-0.007825
2011-09-07,0.025474120967719616,0.024127
2011-09-08,-0.010970423020102538,-0.01073
2011-09-09,-0.006989385002033055,-0.006199
2011-09-13,-0.015141310455872858,-0.016406
2011-09-14,0.008930384747821485,0.011488
2011-09-15,-0.00022990185858862098,0.0008
2011-09-16,-0.0013651152860654208,-0.00016199999999999998
2011-09-19,-0.02168159834503669,-0.019676
2011-09-20,0.007013306782575057,0.004832
2011-09-21,0.0284642672756672,0.029684
2011-09-22,-0.02891554434308574,-0.028839999999999998
2011-09-23,-0.008897263408374712,-0.008205
2011-09-26,-0.015869639208464292,-0.016104
2011-09-27,0.0035786739760550468,0.004148
2011-09-28,-0.01621671094001842,-0.016825
2011-09-29,-0.02899950884184244,-0.032182
2011-09-30,-0.002246548795025393,-0.003677
2011-10-10,-0.005320222123565199,-0.006288
2011-10-11,-0.0046809510653949,-0.003822
2011-10-12,0.03571326484745585,0.034763999999999996
2011-10-13,0.014406847174473604,0.012959
2011-10-14,-0.003019732073653469,-0.004163
2011-10-17,0.0049704452545531455,0.002993
2011-10-18,-0.03262655601911679,-0.030046
2011-10-19,-0.0054037763960776974,-0.005895
2011-10-20,-0.028887512172376506,-0.029501
2011-10-21,-0.018265344115841128,-0.018386
2011-10-24,0.02308876331220766,0.017722
2011-10-25,0.028269841785091065,0.028424
2011-10-26,0.01259687381072272,0.010775999999999999
2011-10-27,-0.001266465556071572,0.0011849999999999999
2011-10-28,0.02225595923037127,0.023093
2011-10-31,0.008301539495436883,0.005168000000000001
2011-11-01,0.00176283385803333,0.000117
2011-11-02,0.019289634479072504,0.018238
2011-11-03,0.00040480764633654605,0.006098
2011-11-04,0.007648408781346205,0.008178
2011-11-07,-0.003060782009659313,-0.003961
2011-11-08,-0.00997567966298385,-0.013904000000000001
2011-11-09,0.017548615944660728,0.016869000000000002
2011-11-10,-0.012648509842791976,-0.014937
2011-11-11,-0.000449999025130209,-0.000548
2011-11-14,0.02355952413308371,0.023982999999999997
2011-11-15,0.004156620353842788,0.007956999999999999
2011-11-16,-0.020622436976603264,-0.024887000000000003
2011-11-17,0.002727088863592852,-0.002149
2011-11-18,-0.02590759123376918,-0.028502999999999997
2011-11-21,0.0029378283719334593,0.000852
2011-11-22,-0.0018760748624254689,-0.002195
2011-11-23,-0.005475563042035336,-0.003849
2011-11-24,0.00124663612557696,-0.001882
2011-11-25,-0.0041845412807720575,-0.006078
2011-11-28,0.001854101117432893,0.001008
2011-11-29,0.013687849222016713,0.016683
2011-11-30,-0.040573139831821974,-0.040365000000000005
2011-12-01,0.0222674317702134,0.020177999999999998
2011-12-02,-0.021510199662708285,-0.020523
2011-12-05,-0.02904791574945964,-0.032699
2011-12-06,0.0041014149063069985,-0.000115
2011-12-07,0.004070142515713693,0.0027900000000000004
2011-12-08,-2.8543199039776e-05,-0.000544
2011-12-09,-0.009276746723816398,-0.009796000000000001
2011-12-12,-0.011330807877655946,-0.013033999999999999
2011-12-13,-0.03169617724475005,-0.034758
2011-12-14,-0.01625833367334073,-0.019174
